tempo,complexidade,qtd_inputs,req_api

0.00000237, 3, 1, 0
0.0000127, 3, 2, 0
0.00002542, 3, 3, 0
0.00003948, 3, 4, 0
0.00005491, 3, 5, 0
0.00007029, 3, 6, 0
0.00009219, 3, 7, 0
0.0001147, 3, 8, 0
0.00016392, 3, 9, 0
0.0002268, 3, 10, 0
0.000574348, 3, 20, 0
0.00147346, 3, 30, 0
0.001904834, 3, 40, 0
0.003481455, 3, 50, 0
0.005029634, 3, 60, 0
0.006484009, 3, 70, 0
0.00867084, 3, 80, 0
0.011245002, 3, 90, 0
0.013712439, 3, 100, 0
0.000504785, 3, 30, 0
0.000693381, 3, 40, 0
0.000959885, 3, 50, 0
0.00100668137, 3, 60, 0
0.002179565, 3, 70, 0
0.0032825, 3, 80, 0
0.002795273, 3, 90, 0
0.00306355, 3, 100, 0
0.0000288, 3, 1, 0
0.0000723, 3, 2, 0
0.000094, 3, 3, 0
0.0001711, 3, 4, 0
0.0002158, 3, 5, 0
0.0002263, 3, 6, 0
0.0002639, 3, 7, 0
0.000491, 3, 8, 0
0.0004924, 3, 9, 0
0.0005205, 3, 10, 0
0.0013008, 3, 20, 0
0.00152449, 3, 30, 0
0.0018604, 3, 40, 0
0.00161279, 3, 50, 0
0.00326858, 3, 60, 0
0.00548728, 3, 70, 0
0.00686758, 3, 80, 0
0.00796685, 3, 90, 0
0.0109936, 3, 100, 0
0.0129995, 3, 125, 0
0.0178423, 3, 150, 0
0.0210569, 3, 175, 0
0.0253949, 3, 200, 0
0.0264814, 3, 225, 0
0.0295945, 3, 250, 0
0.0391031, 3, 275, 0
0.0419647, 3, 300, 0
0.0458543, 3, 325, 0
0.0493106, 3, 350, 0
0.0592189, 3, 400, 0
0.0639431, 3, 425, 0
0.0676723, 3, 450, 0
0.0716208, 3, 475, 0
0.00000625, 4, 1, 0
0.00000967, 4, 2, 0
0.00001406, 4, 3, 0
0.00002068, 4, 4, 0
0.00002761, 4, 5, 0
0.00003401, 4, 6, 0
0.00004204, 4, 7, 0
0.00004985, 4, 8, 0
0.00006292, 4, 9, 0
0.00007546, 4, 10, 0
